A0097414B,221
A0103450Y,221
A0105680L,221
A0091846W,221
A0098954H,221
A0099368H,221
A0083645Y,221
A0099884B,221
A0080401Y,221
A0091767R,221
A0075018J,221
A0087254Y,210
A0116379X,201
A0106026W,191
A0115403X,184
A0099001M,191.5
A0098904R,181
A0096766J,175
A0094523E,175
A0099790J,172
A0102462W,175
A0102421E,163.5
A0094636W,166.5
A0100284W,161.5
A0084476U,158.5
A0108365E,161
A0099201J,165
A0102711B,159
A0100288M,156.5
A0094738N,151
A0116738Y,156
A0094503J,151
A0114790H,155
A0116050Y,159
A0086492U,149
A0096933R,149
A0115934E,152
A0091712L,146.5
A0101673N,155
A0102052E,127.5
A0085225H,146
A0098188J,140.5
A0083740H,139.5
A0119463A,144.25
A0114769W,148
A0116408L,143
A0112098J,147.5
A0088397H,142
A0085322L,137
A0086861U,135.5
A0088642W,144
A0096895A,133.5
A0115868U,133
A0098728J,133
A0114557E,137
A0102554R,141
A0112202J,130.8125
A0102636N,135
A0096493N,134.5
A0105728E,129.5
A0099568A,129
A0106028R,128
A0097434X,132.5
A0098122H,127
A0100582U,126.5
A0098742R,130
A0097193U,129
A0115675B,129
A0111452X,128
A0115819B,127
A0101719M,121.5
A0097446R,121.5
A0116339E,126
A0097445U,119
A0113688X,118
A0116773B,118
A0111458L,118
A0097458L,117.5
A0099893B,117
A0113851M,116.5
A0084627X,116
A0119488N,120.3125
A0097266R,88
A0114364M,119.3125
A0114598W,119
A0114300H,119
A0110589A,114
A0114507N,119
A0101174X,113.5
A0088515X,121.5
A0115642M,115
A0111674L,115
A0091711M,109.5
A0094402M,113
A0111485L,117
A0105498X,106.5
A0074930E,116.5
A0114731R,111
A0094567N,106
A0096708R,106
A0114710X,105.5
A0080412W,105.25
A0115920N,110
A0086517X,110
A0114950L,109
A0113039R,114
A0099900X,108.5
A0105684A,102.5
A0112219U,102
A0091533J,112
A0105664H,101.5
A0119437B,106
A0083149B,106
A0114435N,101
A0115068J,101
A0115837B,105
A0099708L,105
A0084882R,105
A0115004A,100
A0113764H,104.5
A0115532R,103.5
A0116118N,103
A0115554J,97
A0101046B,97
A0119544A,100
A0099333X,105
A0098741U,99.5
A0115347J,99.5
A0105776Y,99
A0114439H,94
A0105562M,103.8125
A0113955A,98
A0110795E,92
A0083242M,92
A0112048U,96.375
A0075160M,91
A0113528L,90
A0112105E,95
A0102548L,95
A0116190N,90
A0100036E,90
A0094533A,94.5
A0105475H,94.5
A0116723L,99
A0114624N,94
A0074696M,0
A0115595Y,94
A0115659X,89
A0115448E,93.875
A0105742M,93.5
A0114301E,93.5
A0099356M,93
A0111506X,92.5
A0115786W,92
A0087238W,87
A0114409M,86
A0115430X,95.5
A0097725R,84.5
A0116728B,84.5
A0116334N,89.25
A0116401Y,89
A0115591H,84
A0114953E,89
A0094674R,84
A0091701N,83
A0100617W,83
A0115097E,88
A0091820L,83
A0116367A,82
A0116448A,82
A0105660N,86.8125
A0085640E,86.5
A0119524H,86
A0090993R,80
A0111028Y,80
A0097359L,80
A0116295A,80
A0114946B,80
A0115128N,79
A0113084R,78.5
A0115639B,78.5
A0119551H,78.125
A0105743L,83
A0086021R,78
A0096826N,83
A0111201M,78
A0100750Y,78
A0115755A,88
A0116302Y,78
A0100137B,78
A0114732N,77.5
A0115973Y,87
A0116045R,77
A0100840Y,81.5
A0091603M,76
A0097439M,81
A0116668W,76
A0119407H,80.875
A0114943H,80.5
A0113503Y,80
A0088498A,75
A0096893H,74.5
A0112186M,74
A0094622E,74
A0116680H,78.5
A0119543E,73.5
A0110871N,72
A0094010X,72
